"","period","county","region","year","id","quarter","naloxone_count","agent_type","death_counts_all_opioids","death_rate_all_opioids","death_counts_heroin","death_rate_heroin","death_counts_pain_relievers","death_rate_pain_relievers","2017_pct_bb_covrg","county.f","agent_type_f","date","nalonxe_per_death","enrolled","population","region_pop","pp_medicaid_enroll","equifax","unemployment","pp_constr_employ","avg_earnings","post","treat","time_to_treat","post_alt","treat_alt","time_to_treat_alt","cumulative_trend_alt","bb_treatment"
"77",1,"Clinton","North Country",2015,2289,1,0,"COOP",0,0,0,0,0,0,0.82824624,"Clinton","COOP",2015-01-01,0,302156,80718,1268307,7.94118984336337,26.2706480304956,6.8,0.0383988234165681,3396,0,0,0,0,0,0,0.20390212697905,0.168881169998401
"78",1,"Clinton","North Country",2015,1149,1,2,"LEO",0,0,0,0,0,0,0.82824624,"Clinton","LEO",2015-01-01,0,302156,80718,1268307,7.94118984336337,26.2706480304956,6.8,0.0383988234165681,3396,0,1,-9,0,1,-9,0.20390212697905,0.168881169998401
"79",1,"Clinton","North Country",2015,9,1,1,"EMS",0,0,0,0,0,0,0.82824624,"Clinton","EMS",2015-01-01,0,302156,80718,1268307,7.94118984336337,26.2706480304956,6.8,0.0383988234165681,3396,0,0,0,0,1,-9,0.20390212697905,0.168881169998401
"80",1,"Cayuga","Central",2015,1145,1,1,"LEO",3,3.8,1,1.3,3,3.8,0.83111262,"Cayuga","LEO",2015-01-01,0.333333333333333,574472,78298,953877,20.0749852094837,26.7538265306122,6.6,0.0415149022833196,3391,0,1,-9,0,1,-9,0.20390212697905,0.169465630977131
"81",1,"Broome","Southern Tier",2015,3,1,54,"EMS",9,4.6,3,1.5,4,2,0.86030555,"Broome","EMS",2015-01-01,6,470241,195928,2117217,7.40344518299258,24.2909987669544,7.03333333333333,0.0353728711309109,3517,0,0,0,0,1,-9,0.20390212697905,0.175418131496882
"82",1,"Yates","Finger Lakes",2015,57,1,2,"EMS",1,4,0,0,0,0,0.57416266,"Yates","EMS",2015-01-01,2,855932,25128,5032686,5.66915294669023,23.0927835051546,6.46666666666667,0.0458518632111639,2601,0,0,0,0,1,-9,0.20390212697905,0.117072987605949
"83",1,"Yates","Finger Lakes",2015,1197,1,2,"LEO",1,4,0,0,0,0,0.57416266,"Yates","LEO",2015-01-01,2,855932,25128,5032686,5.66915294669023,23.0927835051546,6.46666666666667,0.0458518632111639,2601,0,1,-9,0,1,-9,0.20390212697905,0.117072987605949
"84",1,"Oneida","Mohawk Valley",2015,1170,1,2,"LEO",8,3.4,3,1.3,5,2.2,0.85031611,"Oneida","LEO",2015-01-01,0.25,406355,231264,1300155,10.4181168142773,28.3119658119658,6.3,0.0203597944031982,3480,0,1,-9,0,1,-9,0.20390212697905,0.173381263433552
"85",1,"Nassau","Long Island",2015,28,1,78,"EMS",43,3.2,14,1,26,1.9,0.9381001,"Nassau","EMS",2015-01-01,1.81395348837209,1614187,1354840,8540421,6.3001851235827,19.6664938655607,4.73333333333333,0.0429746290246558,5003,0,0,0,0,1,-9,0.20390212697905,0.19128060570926
"86",1,"Nassau","Long Island",2015,1168,1,3,"LEO",43,3.2,14,1,26,1.9,0.9381001,"Nassau","LEO",2015-01-01,0.0697674418604651,1614187,1354840,8540421,6.3001851235827,19.6664938655607,4.73333333333333,0.0429746290246558,5003,0,1,-9,0,1,-9,0.20390212697905,0.19128060570926
"87",1,"Livingston","Finger Lakes",2015,1164,1,3,"LEO",1,1.5,0,0,1,1.5,0.87968254,"Livingston","LEO",2015-01-01,3,855932,64344,5032686,5.66915294669023,23.8517324738114,6.5,0.0509803921568627,3114,0,1,-9,0,1,-9,0.20390212697905,0.179369140972333
"88",1,"Livingston","Finger Lakes",2015,24,1,4,"EMS",1,1.5,0,0,1,1.5,0.87968254,"Livingston","EMS",2015-01-01,4,855932,64344,5032686,5.66915294669023,23.8517324738114,6.5,0.0509803921568627,3114,0,0,0,0,1,-9,0.20390212697905,0.179369140972333
